IMF Spot,Interpolation Method,Mean Frequency,Variance Frequency,Rows,Cols,Channels,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color,File Name
IMF 1,Bicubic,65818.75015880378,64236763276.719315,480,640,2,20776.8102825818,1.9358144256387296e+17,7.920839384388392e+23,19.10076699565141,222841.12147226886,-0.01607359108816285,798554712.5303245,9956162456590.793,
IMF 2,Lanczos4,87890.69276923698,113236737189.08627,480,640,2,27737.53981856236,4.2933712263263104e+17,2.131216423775883e+24,-27.4264447187038,393002.7089599834,-0.005734899759022841,-1713181248.491559,26839465324074.49,
IMF 3,Lanczos4,47013.060751344216,29677969113.675995,480,640,2,15362.985278794624,5.294232003886383e+16,1.1958830925935313e+23,-4.06900329229802,103786.16780493374,-0.037378671395744405,72072959.94422509,1569154305615.0378,
IMF 4,Bicubic,51967.3131854427,38667415784.202835,480,640,2,16893.375866132188,8.079947583875584e+16,2.1383305873791678e+23,-0.5295872170498608,134661.23458919176,-0.02567205094212217,-132843936.31406046,3802050425021.6025,
IMF 5,Bicubic,33656.254725122664,15467720414.278946,480,640,2,10946.17052771015,1.986060215570152e+16,3.2848196458637857e+22,13.369098561810436,53859.23561640924,0.7285397860709328,246869947.3164761,2023371259513.046,
IMF 6,Lanczos4,16838.243773761882,5458585860.449168,480,640,2,5060.215469369257,8548529276752774.0,4.19914504412508e+22,32.43887424422973,17639.49129269478,6.9036812267491845,17677495.67121419,52833345159.422295,
IMF 7,Bicubic,12579.10513311084,4855568562.861744,480,640,2,3624.632316408544,2.263819814452313e+16,3.238829681992276e+23,57.21481481981603,13047.436478192754,26.70803210734557,8563113.265118644,14326982342.706757,
IMF 8,Bicubic,4890.681851503724,1076348755.678659,480,640,2,1276.699484290194,1614369740714250.8,7.313400649513556e+21,21.94464795259529,3100.032441377563,0.0,472817.89416572655,154019495.14592192,
IMF 9,Bicubic,1279.221191568806,96890886.754975,480,640,2,318.4810931599216,21666050371032.8,5.913174729277156e+18,1.7946549195738195,317.5060809459963,0.0,71504.33287706223,18917500.00816878,
IMF 10,Gaussian,1.2349578002465153e-11,4.195690042149491e-23,480,640,2,1.1580052218525432e-11,1.7447533350276208e-34,5.762599059028355e-45,-2.4089526669731258e-17,6.330364550477853e-28,0.0,-1.3596915332932558e-40,3.546578152624305e-52,
IMF 1,Lanczos4,5053.886002370286,51571293.22627561,500,700,2,2644.5034296300587,2340643607188.2007,3.244607946879941e+17,-0.07525888782368208,220.31735596046047,0.0016952503343992814,-8780.765362317186,8487404.192397863,
IMF 2,Lanczos4,6559.531151976,134978732.66606066,500,700,2,2294.53718364987,8033341179624.8545,1.1633822204786194e+18,-0.27756921698825143,508.512045614935,-0.0012288971970661478,7881.868667229784,83581316.052619,
IMF 3,Lanczos4,6115.0610348637465,190621089.37798038,500,700,2,1873.264646873074,23277532402192.21,8.279584384140857e+18,0.4491330059973553,651.2698819374648,-0.0038978174272162407,79270.68193562822,53381358.42299204,
IMF 4,Bicubic,6230.355875714948,282712402.52051383,500,700,2,1958.4482817724454,58106198904610.52,3.416215729953307e+19,0.3978341845376228,918.4981189860974,-0.023915479664605943,13459.446422696548,74901380.03634045,
IMF 5,Bicubic,5805.211924637417,342626023.7865062,500,700,2,1734.1541636443467,58673457373188.66,1.946143736148222e+19,0.3307787820617133,1075.1091833300773,-0.006746245095673138,81868.88227979059,74410936.61350434,
IMF 6,Bicubic,6542.496851071355,640614593.1866418,500,700,2,1973.717642131108,218415944231189.6,1.488940137641023e+20,4.1035626789818265,1935.7860825765827,0.5224390963079739,198767.56658760872,117586863.34198377,
IMF 7,Bicubic,7423.993330040141,1713544552.964551,500,700,2,2083.204900498261,4350875945309240.0,3.668827324568781e+22,30.204509244316696,4141.002563964365,14.561389590090554,159712.85259136898,211986210.8318827,
IMF 8,Bicubic,5260.045071955517,2278682759.9622955,500,700,2,1272.1721877678028,2.0598381672351296e+16,3.705114535935236e+23,54.168643598415095,3655.331862483023,41.86733259689571,97559.86068228334,42436570.945164144,
IMF 9,Bicubic,1992.302684260683,392658053.541165,500,700,2,408.06942532412086,297920862559667.0,4.9133127678055376e+20,9.527666610501626,1042.4444933216384,0.0,118293.44087938394,16422922.562145572,
IMF 10,Gaussian,7.200424520733705e-12,1.4106975833427632e-23,500,700,2,6.775020858703067e-12,3.296611522167586e-35,6.401867660034843e-46,-1.796911825684739e-17,1.8843707457424858e-28,0.0,-6.475789830903121e-44,2.6631964882021804e-55,
IMF 1,Bicubic,4282.4393108685135,54907830.53840586,485,728,2,1795.84636683879,2141988567329.5305,1.4004065378658947e+17,-0.030724046137746236,207.45095642292281,-0.005451530946655653,28494.69464333175,13066362.700108835,
IMF 2,Bicubic,4382.285869973855,104185317.92936186,485,728,2,899.5469932017019,6280860616936.912,5.831746305853834e+17,0.08610847366116628,349.4594126093815,0.00884135597265853,24206.227979916832,49056907.43154584,
IMF 3,Bicubic,4621.00368863913,180823513.5143685,485,728,2,1006.6731420198587,18484240202051.59,3.3314797967917174e+18,0.6155434005230662,572.2312473801469,0.028611392639088594,47655.114532936495,34387562.204073004,
IMF 4,Bicubic,7643.643667728407,714250897.0590597,485,728,2,2175.015646147533,174342731338943.12,5.977457177850123e+19,-0.4254082073970952,2188.207454214462,-0.004672723916880561,44214.480260068776,563545941.0861382,
IMF 5,Bicubic,9339.713413096877,1427678051.8506215,485,728,2,2712.64567242724,615385433009793.4,3.8233279999303673e+20,-0.34739241419242545,4290.431880222932,0.2631502467313049,-1946831.8789296031,3049095600.3928266,
IMF 6,Lanczos4,9369.280353883394,3886551160.4794006,485,728,2,2389.8720227870904,1.947351208227857e+16,2.8428922489988623e+23,50.0255920631241,8753.627333786193,19.282877331743396,483223.4120674874,352610751.94248575,
IMF 7,Lanczos4,7530.493954454099,4508426349.256401,485,728,2,1897.1937243081534,5.2637895608447336e+16,1.2613021257581923e+24,72.97183614107126,7604.573825494826,38.2705887331518,527184.3052317129,169250200.58052054,
IMF 8,Bicubic,3713.0442590063035,749509029.3557613,485,728,2,936.0719639150883,739701579014001.9,1.776334981756748e+21,13.247905466441836,1986.3139110986035,0.0,323971.70835142396,63248124.69713218,
IMF 9,Gaussian,525.3250142314591,9883190.93329861,485,728,2,130.3062533768308,508356771285.4678,2.969124259514335e+16,0.17498253516368906,28.74234277511537,0.0,5524.251095569366,1152839.5215220551,
IMF 10,Gaussian,9.0869762046759e-12,2.262434421335712e-23,485,728,2,8.52684823384088e-12,6.867656676988005e-35,1.6640015558339076e-45,-3.125277185440794e-17,2.9794136142473388e-28,0.0,-1.9020909004890145e-43,5.658953084371824e-55,
IMF 1,Lanczos4,4324.793134418886,18671751.6641498,194,259,2,3147.707079228411,361592694566.87775,1.6168706056015588e+16,-0.5204530564453941,743.5811231960339,-0.039887262465082174,-53391.79414597836,37537402.172556855,
IMF 2,Lanczos4,3959.662947887854,26930015.12249889,194,259,2,1774.3524038520407,416074116790.98425,1.2590608860306502e+16,0.8027536447259016,847.3623091782214,0.05639386368697402,183056.61013316625,176630892.99223033,
IMF 3,Bicubic,3425.6708017872193,43496973.70657233,194,259,2,1140.7380183922994,1327842250247.4805,6.683705439433642e+16,1.381475658763754,1097.3271686134822,0.09626760979272513,195933.63299502688,97282248.82533498,
IMF 4,Bicubic,3682.4973868019642,103609555.54873917,194,259,2,1102.007775118634,7741785380441.053,8.847245146687492e+17,3.9957029763769305,2315.968094789065,1.011470910020282,-436175.0772652543,432504990.225946,
IMF 5,Lanczos4,3582.968834975614,285889276.60054135,194,259,2,975.9607960025937,207049784394796.47,3.573771292431035e+20,40.75204769676944,4284.5586368796585,22.846031078598276,243117.09733663977,88437226.34961073,
IMF 6,Lanczos4,2847.3037035389093,308079629.7346205,194,259,2,764.3070243117314,364258290461421.6,8.424255941049537e+20,50.654923986000355,3726.853585712743,31.142727470502034,96479.40800955216,40134102.48181269,
IMF 7,Bicubic,1158.8831684312447,43779051.84016272,194,259,2,306.8932320025825,5393773629877.759,1.0628049506685082e+18,8.209391946971456,830.6288516243238,0.0,91384.8413785874,12162025.628045375,
IMF 8,Gaussian,2.5910270022134683e-12,1.822328197456603e-24,194,259,2,2.4356081148423704e-12,1.5296985805245816e-36,1.0660994060804652e-47,-6.275192831141673e-17,1.698752391181519e-28,0.0,-6.638698814773482e-44,2.091322422971783e-55,
IMF 1,Lanczos4,9133.613289744182,35229710.54732782,562,750,2,7920.925810893376,296180288715.9224,8026987926560933.0,0.014206611281594337,281.50063393475665,0.048237945226365264,-1993.0682280051885,1112887.9598322285,
IMF 2,Lanczos4,6287.703124580988,57084800.25263871,562,750,2,2778.9937951125457,891241702423.89,3.021525665238341e+16,-0.01335102184040788,229.22879170396263,0.010110053899485829,1466.5491291218154,2098321.8632813026,
IMF 3,Lanczos4,4732.557329772074,74298803.54977073,562,750,2,1201.0754596056215,2681726896012.164,2.079758486814469e+17,0.09892091695689592,229.3992358368861,0.01577284781194116,1762.7490378685693,980995.3469088044,
IMF 4,Lanczos4,3880.035727639815,90651229.11863336,562,750,2,1013.7665294996408,5317164527833.467,6.225943352251973e+17,0.28644553712223714,250.7030174391853,0.012373744890343595,9019.701570978028,2654211.1721011307,
IMF 5,Bicubic,3381.0075775362657,121710316.56951828,562,750,2,965.3710417309952,20960795205507.29,9.13720607111368e+18,0.8246339903693805,315.19549197024526,0.12750921265493684,13659.6162679913,3104487.7629053495,
IMF 6,Bicubic,3539.704421368236,234957812.75028035,562,750,2,955.3370834071443,70754664308174.62,5.697249297281328e+19,0.2498074619228224,587.0961256292019,-0.012436100180085707,25664.01430548757,6822513.699686812,
IMF 7,Bicubic,6477.62171882323,2390909168.282044,562,750,2,1575.0701203761207,7790990332732107.0,7.650348077580477e+22,31.26228620284873,4794.600069708575,8.992609866940281,466315.8932769324,104919933.6637553,
IMF 8,Lanczos4,6642.834165508935,5239741063.150293,562,750,2,1597.2270523929972,9.301097478663651e+16,2.84761720727599e+24,78.02067786659342,6448.641699260378,60.09857199298629,309762.0332337437,95770411.28231546,
IMF 9,Bicubic,3628.2153924372296,794959549.1784655,562,750,2,879.9197361462583,830816695565793.4,2.430183931920866e+21,12.903549184448776,1750.7546369792292,0.0,263090.2486909741,48041545.1708775,
IMF 10,Gaussian,9.78312568650313e-12,2.6114247706250734e-23,562,750,2,9.195051055775001e-12,8.490042356679662e-35,2.2217914257837595e-45,6.326611832283881e-17,2.8902042421717647e-28,0.0,5.710033297160585e-44,4.8066098083642284e-55,
IMF 1,Lanczos4,4463.721579878087,32637573.65280409,375,500,2,2650.7252263613664,777545088403.6741,3.530314683759768e+16,-0.6845744508645191,279.86407246374847,-0.032409805353697696,-33798.934391435076,15324976.58111984,
IMF 2,Lanczos4,4375.862799176464,49527173.6901627,375,500,2,1546.0995247151122,1188426658496.4294,4.3577942691655256e+16,0.10904815668417672,366.25663611221285,-0.007340521939991478,45282.21086851106,41037802.77257325,
IMF 3,Lanczos4,4213.796584735395,68544671.35127214,375,500,2,1399.621779389689,2341579411807.2183,1.1534405432102605e+17,0.29293798596020065,460.18487004998065,0.024666127476739297,90567.34290767918,53268099.59200544,
IMF 4,Bicubic,3661.014083091288,86988264.37712455,375,500,2,1119.827537293603,5495188263525.479,5.94502727115684e+17,1.2523876951014068,533.8517303609841,0.08017568861168778,38450.45837437916,12784951.61984981,
IMF 5,Bicubic,4542.950233586425,212824579.61813423,375,500,2,1390.1596723584396,30008257589709.89,8.315268499604585e+18,2.3173605440855702,1239.7657144712605,0.2542710824346551,83818.90657181868,48345790.42402092,
IMF 6,Bilinear,5300.585574549381,736285666.9829649,375,500,2,1435.484221764258,648492613070706.8,1.6942619271356788e+21,21.76585634721724,3602.950827691428,9.804600348029087,167951.9177012771,78609466.15358858,
IMF 7,Bicubic,4452.11567977767,1666791470.836799,375,500,2,1061.0066381511542,1.182325580267054e+16,1.447870078381941e+23,68.38671193844213,4318.525922850787,69.91724934978042,53833.94245556553,43039144.31928887,
IMF 8,Bicubic,2153.229343164056,297572324.904846,375,500,2,500.3165552965722,162621247662678.7,1.9630694680066186e+20,12.371391783373802,1458.7285133908515,0.0,173643.418923909,25455591.94984767,
IMF 9,Gaussian,5.4126445767386275e-12,7.98289973565466e-24,375,500,2,5.094199865099013e-12,1.4154677580843365e-35,2.065131099863097e-46,4.6005273664680615e-17,1.9882252911347636e-28,0.0,4.85038327755628e-44,2.8262220084172695e-55,
IMF 1,Bicubic,42590.02201722897,14443862819.691254,183,275,2,15612.71891528486,1.3289650049308956e+16,1.5983336165118145e+22,-8.68612660126015,322980.1457425567,1.022727578101796,-54365392.92436709,4482873621797.193,
IMF 2,Lanczos4,56890.564024844636,27150558319.16334,183,275,2,20371.036092349957,3.474717233010912e+16,5.85231056800993e+22,59.929587462108564,600225.5254056039,0.0,413431127.80656224,11809867707115.615,
IMF 3,Bicubic,26476.56407559749,5635258748.173139,183,275,2,9383.533831443196,3138574006231787.5,2.2355343718268191e+21,-21.697817338312248,125436.15342463812,0.0,6375739.734020899,854925052901.9589,
IMF 4,Bicubic,20220.455949642943,3341519408.214563,183,275,2,7170.559559097124,1489340427449732.5,8.834548873598079e+20,-12.328035819535346,74371.34287165021,0.0,-35860136.38119469,196058881667.65704,
IMF 5,Bicubic,13864.776222168879,1930230400.3363507,183,275,2,4792.058136840369,764782300358601.0,4.3895419273879395e+20,26.47971709346219,41473.93476699537,24.9548044883643,-56958100.34611832,174915043416.65326,
IMF 6,Bicubic,2831.851474405085,166115408.04674026,183,275,2,806.0595720171099,43997942023016.13,2.963930451878185e+19,21.298011024332315,3006.599213637038,0.0,167938.91580716113,102069991.09781824,
IMF 7,Bicubic,262.85297417401256,4929520.798036515,183,275,2,48.211731411094895,169491147719.90634,6222777195649861.0,0.8331390922697574,98.63250586135,0.0,12016.01525398483,1519845.3000063759,
IMF 8,Gaussian,2.310040055244741e-12,1.4466549728954104e-24,183,275,2,2.1633412334241688e-12,1.0812783264663286e-36,6.723473526825535e-48,2.6226192382998235e-17,1.347820251472014e-28,0.0,3.476213593936627e-42,2.707213499644055e-54,
IMF 1,Bicubic,6393.557106403071,116623520.05315807,194,259,2,3523.2682557823687,6445437383245.032,4.7678226781645466e+17,1.3114543636536742,3132.879707839653,0.1287268678959128,880292.8974897991,2460065170.368945,
IMF 2,Lanczos4,6818.010789381488,178380199.19783393,194,259,2,2666.489291647523,11867772668929.58,1.0714982053847988e+18,-0.4606605281997444,4475.078766720657,0.03608423405284364,-1267838.1439204412,4025619513.308562,
IMF 3,Lanczos4,3801.702466336705,53664770.55730917,194,259,2,1374.9034651260565,1717367813160.2456,7.754446379978354e+16,1.4012758016039029,1353.7207034804594,0.2414929066305077,104521.38569077947,111883101.92884384,
IMF 4,Bicubic,3656.610333264204,79147536.02313375,194,259,2,1272.8430140837568,4269825554361.453,3.286377841865655e+17,0.13553533944461782,1841.2891004672738,-0.24117042520358956,-18040.36675052184,191837470.38647255,
IMF 5,Bicubic,3181.7702377134615,174894857.33705273,194,259,2,891.4586006043482,41958066954577.21,2.3305858005871555e+19,19.600164040086067,3298.0872650730357,9.299720896411245,56615.71789550319,61537106.18808656,
IMF 6,Lanczos4,2585.8261176102687,310357440.20609355,194,259,2,700.0287949721522,517972391128627.0,1.4423401657467208e+21,58.055603294073926,2939.38127947499,66.2422452236941,-11714.868013829593,23108224.677311465,
IMF 7,Bilinear,1019.060988436942,30251064.08296599,194,259,2,266.2910331009153,2750386490979.686,3.862698129072631e+17,6.157996952562503,584.8062434784968,0.0,56184.04451499329,6393511.781620904,
IMF 8,Gaussian,2.130703087916237e-12,1.2497787682735288e-24,194,259,2,2.0101427631089283e-12,9.071659148437371e-37,5.296619665997188e-48,3.6581722715627294e-17,1.1522523537803514e-28,0.0,2.353726984539658e-44,9.58144988362984e-56,
IMF 1,Bicubic,49591.339542361966,36238459723.40784,366,550,2,15592.371087605365,1.3108112739304429e+17,1.248836091720043e+24,99.04236644927096,182429.85793930406,1.9244991328344618,305977568.76580584,2504608591913.283,
IMF 2,Bicubic,67684.47964638355,79681475189.49823,366,550,2,19619.94769888022,4.152520910277892e+17,3.6616196873053216e+24,-84.69666309063327,411418.9440864481,0.0,-1640971800.714706,10488252141581.193,
IMF 3,Bicubic,37100.23135935109,16115743858.517609,366,550,2,12340.89714598757,2.0617161294544524e+16,3.6607080399953606e+22,23.734018226839442,86332.72730496299,0.0,168469274.93913287,934938916934.2828,
IMF 4,Bicubic,30909.65463178388,11043201888.192898,366,550,2,10335.708894032441,1.5719320171517372e+16,5.768396140260435e+22,45.10097031624843,57571.509220939515,0.0,-5452132.124210752,324275736509.83124,
IMF 5,Bicubic,28345.387109913452,12275302588.240057,366,550,2,9070.024923604373,2.299761952818408e+16,8.738877844206904e+22,40.71284490993928,63313.96728294035,0.0,127554647.23366614,410243811935.744,
IMF 6,Bicubic,15890.412005447744,4046955526.3751936,366,550,2,5100.880894446226,4113344278250733.5,1.0831487317305442e+22,30.3245510507242,20438.89512606617,0.0,42310253.950823255,163715634969.23557,
IMF 7,Bicubic,3214.5636310716886,349390943.84791815,366,550,2,868.6868289390072,269960668878990.62,5.6965433135737104e+20,15.364595146923316,1550.9354911133514,0.0,230556.9202751997,68948102.03364764,
IMF 8,Bicubic,497.9759369223632,15237827.458818516,366,550,2,94.45776447303517,1051792272868.3964,9.169315896131504e+16,0.9599300060875959,76.00753335297162,0.0,5037.3483583099605,436502.49115469476,
IMF 9,Gaussian,9.815547872979394e-12,2.653533979460031e-23,366,550,2,9.225745827466527e-12,8.7777195059986e-35,2.318575789915367e-45,1.6732765198262607e-17,6.1043349965366785e-28,0.0,1.4258917879022592e-41,3.95687277480968e-53,
IMF 1,Bicubic,6062.906245267588,27770422.42356081,349,523,2,4644.735517312878,367314952888.33295,9344940373432756.0,0.007503364755864509,353.5325967451792,0.012891535726368279,-11807.899432879103,21860260.793101974,
IMF 2,Lanczos4,4920.516182529533,50156373.54790586,349,523,2,1891.1264579459225,1230960248508.3008,6.214501862517747e+16,-0.0286188587874074,407.4339881425489,-0.012259388442525498,19934.140217249453,34465417.542421594,
IMF 3,Lanczos4,3622.4003562146186,53921095.40888148,349,523,2,900.2069382883795,2453718472616.3643,2.4933114227122035e+17,0.3084714864462826,367.2087496936539,0.022207329754388886,12685.485346277368,6488921.302462274,
IMF 4,Bicubic,3565.3548384677947,85233944.70725138,349,523,2,966.2350188965736,6146571913103.639,8.879840642772849e+17,-0.5165469937050453,536.3425566183457,-0.08799389575946104,4531.0611868266105,11271848.088964507,
IMF 5,Bicubic,4107.225127171371,164100155.12494868,349,523,2,1221.0870905503698,20039943186907.02,4.685483480930639e+18,-1.148453363109311,990.1478152436481,-0.15994281899398466,-88765.90067566717,65515028.09412509,
IMF 6,Bicubic,4751.725278705318,673936762.4512305,349,523,2,1140.988404547529,441171269489883.1,7.726321189381061e+20,17.92100300436607,3494.7972385320927,4.605095981090238,245393.06993355046,89164187.38976787,
IMF 7,Bicubic,4694.555214038943,2543707231.961893,349,523,2,1057.2908617482462,2.671711495239158e+16,4.355496882120354e+23,91.94444938976706,5603.0212233365955,101.58249009299816,61739.82056397845,93207260.11230168,
IMF 8,Bicubic,2453.6830461466475,604722226.1316714,349,523,2,451.6991090998572,699093558371917.5,2.0604479606995728e+21,23.639671476611475,2787.206718896433,0.0,301843.31955059624,46533447.592418,
IMF 9,Gaussian,316.9427528207243,6666394.398858001,349,523,2,61.79424069848354,295963651512.5851,1.3770996842241806e+16,0.2581894631773262,37.006467696595685,0.0,5626.3157770377065,904705.4121060936,
IMF 10,Gaussian,6.752218639000973e-12,1.2403646625585865e-23,349,523,2,6.364858739755357e-12,2.6711855335861676e-35,4.888006933826954e-46,5.2557786580511656e-17,3.17737096299756e-28,0.0,2.3703043039022285e-44,5.084139348683003e-55,
IMF 1,Bicubic,4078.595594792104,28925752.17671887,194,259,2,2257.025591165542,573930484154.9968,2.0586872834112924e+16,0.5885282696591608,906.406295435419,-0.003256945802589041,44255.523147519816,86158748.07289813,
IMF 2,Lanczos4,5071.40307759647,93946064.29268096,194,259,2,1828.555830079708,4507563582037.479,3.527020384463288e+17,-3.4000893489962483,2370.025856378877,-0.13253203766496138,-262712.4859841952,261193870.5393453,
IMF 3,Lanczos4,5033.146961115133,131026637.70705582,194,259,2,1680.8102253718762,8121974457262.932,6.940155541609805e+17,-0.01069409060147856,3111.8735878065163,-0.17860179710321372,486233.59110221814,572128929.71216,
IMF 4,Bicubic,6471.593905197447,345464348.10731137,194,259,2,2186.2245662206587,46795930042427.61,8.661881004450093e+18,8.740705652015972,7632.589353028267,1.0761175610914724,1344394.6227592956,3574517761.346917,
IMF 5,Bicubic,5004.779417172223,458886838.2631038,194,259,2,1416.8192796988178,235277383144700.1,3.2082933881493435e+20,39.082671511767984,8103.851862248582,24.13947339296359,270922.32854568854,793824676.9596969,
IMF 6,Bicubic,2998.991314876804,467115736.31654716,194,259,2,747.4399456745165,808633981558752.4,2.4676587847032567e+21,66.14823535247116,5099.984840724777,57.71010258941842,229743.22178630266,80864674.66449057,
IMF 7,Gaussian,504.31383895905424,7924477.719888098,194,259,2,118.71354322903795,307532132830.11505,1.424539969877232e+16,1.2416986581415257,161.23353308810684,0.0,23308.585976637045,3644911.378041572,
