IMF Spot,Interpolation Method,Mean Frequency,Variance Frequency,Rows,Cols,Channels,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color,File Name
IMF 3,Lanczos4,11402.635900051937,892570724.8606211,199,300,2,4075.426768564515,188862202613836.0,5.321067911422228e+19,2.3889821993308717,17123.11739269071,0.10363997805818477,-481891.64564257796,22833324002.212715,
IMF 4,Bicubic,7580.739097906475,487325788.3172428,199,300,2,2472.455582165165,90100204136818.08,2.365286229147355e+19,7.188082846437853,9073.848945524918,0.4831276629328081,3403729.061311996,3622443489.020219,
IMF 5,Bilinear,7932.675353260986,796326619.9177836,199,300,2,2634.089445236942,391514721201141.94,5.686527932807848e+20,39.530098903360006,12830.2349017629,17.393690817678188,5373530.9643637305,8073644395.512945,
IMF 6,Lanczos4,4011.6119799786134,510677603.6447338,199,300,2,1130.429737146584,821582684488062.2,2.6975870038021096e+21,59.615107978294624,5269.667616358412,42.176917172221096,157583.78959509544,101638731.45853332,
IMF 7,Bilinear,1280.5911452906325,56546352.71201067,199,300,2,316.1605212657148,7412914538849.207,1.4847450018424466e+18,7.447065895810107,919.1855377412413,0.0,114719.76775326712,17260515.72002418,
IMF 8,Gaussian,297.47022110948484,3825290.2640565564,199,300,2,57.20852323587663,96383711225.37312,2556404921735249.0,0.45219398678597794,65.35295437559233,0.0,10075.30689820494,1656923.4217559125,
IMF 9,Gaussian,3.3294332784848798e-12,3.0131815720611315e-24,199,300,2,3.1426748794613477e-12,3.2046133701153167e-36,2.9000832087589123e-47,1.5234417115124427e-17,2.3615232281946487e-28,0.0,-3.6494496857417794e-42,2.563955343786562e-54,
IMF 1,Lanczos4,9812.33595493206,200123541.6790045,480,640,2,5543.106685280468,12606210574629.28,1.2859132675462e+18,-1.1068956613726455,963.6363658862964,-0.07896326843303528,-147052.62497485644,197358728.38934392,
IMF 2,Lanczos4,11483.028792436246,386306142.7931757,480,640,2,4761.601691103936,31160200886236.44,3.746707290532049e+18,0.919784972315227,1685.8925797228528,0.033132163071958945,470623.5213252938,660559616.1825527,
IMF 3,Lanczos4,6718.653490840813,183733296.6304016,480,640,2,2319.038906428631,13127230138599.385,1.8321661574346524e+18,1.0460402976353336,743.9370541240729,0.041716247473664085,58362.93003627378,52530397.01467028,
IMF 4,Lanczos4,5547.618937265709,197669613.32099208,480,640,2,1783.0646589917715,18206005983813.77,2.828394389184257e+18,-0.4484807862104013,743.4371761631149,-0.015414896232165796,-40283.78567031308,38857302.68160965,
IMF 5,Bicubic,4801.007598503782,255347940.05652305,480,640,2,1415.210933298485,41297278424992.586,1.2661852407991263e+19,0.4467222809542759,906.0426723333023,0.025406890394194626,39142.4153585424,31399008.95048045,
IMF 6,Bicubic,4955.838475822635,497528074.8493801,480,640,2,1336.7121365923936,215543657057693.8,2.188286415507965e+20,4.952620838871198,1674.9780892997655,0.48115778204666704,156518.2939617901,62298791.97300855,
IMF 7,Bicubic,5601.077808538983,3007443289.2728014,480,640,2,1283.132329647374,2.6555293326364736e+16,4.9134325836535146e+23,64.11153227805153,5781.688518446393,40.264655213403685,112772.6625890332,73739596.13009152,
IMF 8,Bicubic,3876.249336197972,3030920394.628529,480,640,2,710.9935705762384,3.2891776132725044e+16,6.660023169555604e+23,69.18888808643405,5128.085602423139,76.57294402069745,88435.34058110707,39452213.43450365,
IMF 9,Bicubic,863.4837729794376,118203039.39540204,480,640,2,140.5717519128117,35652333439665.445,1.3056896669755394e+19,2.849091078738092,379.0852959807869,0.0,51084.657363036175,7221622.629924329,
