File Name,Shape,No IMFs,Time,RMSE,PSNR,SSIM,Variation Of Information,Adapted Rand Error
DATA/00025.jpg,"(453, 604)",9,83.7722545,1.52e-14,54.25458544,0.999541166,[0.96020101 0.9598524 ],"(0.3024535446420846, 0.6973444365993501, 0.6977485911989525)"
DATA/00026.jpg,"(417, 628)",9,112.70435829999998,1.87e-14,55.64283849,0.999065751,[0.80521076 0.80451688],"(0.21451302410958883, 0.7851146871873108, 0.7858596178275887)"
DATA/00027.jpg,"(418, 630)",9,199.3822767,1.72e-14,56.14409914,0.999449426,[0.6696831  0.66808463],"(0.10039306663636416, 0.8991928555557841, 0.9000213927123856)"
DATA/00028.jpg,"(412, 620)",9,82.33957,1.87e-14,48.67692899,0.997011173,[1.62453905 1.62134202],"(0.31328373126053555, 0.685484124086499, 0.6879528508818094)"
DATA/00030.jpg,"(592, 896)",10,202.3983842,1.69e-14,54.75210824,0.999703377,[0.81121946 0.80281323],"(0.22996435834084228, 0.7638714657912319, 0.7763001123629285)"
DATA/00032.jpg,"(375, 500)",8,75.07706040000002,1.49e-14,57.56765128,0.999394529,[0.60920466 0.60901025],"(0.18870254874274317, 0.8112205351250449, 0.8113743819765067)"
DATA/00034.jpg,"(480, 640)",9,161.45835580000005,1.88e-14,49.7858846,0.997958134,[1.38927081 1.38272994],"(0.28827526368321366, 0.706243589126497, 0.7172916271848864)"
DATA/00036.jpg,"(250, 580)",8,64.0339476,1.56e-14,57.12567214,0.999584642,[0.61672309 0.61713396],"(0.17733915558290236, 0.8226689486976332, 0.8226527402962346)"
DATA/00037.jpg,"(425, 640)",9,87.1882707,1.53e-14,52.61079054,0.999023085,[1.20212439 1.20006531],"(0.39335919656417295, 0.6062442175535508, 0.6070379085257515)"
DATA/00038.jpg,"(360, 480)",9,77.7556541,1.63e-14,55.55385124,0.999433458,[0.82076161 0.82017977],"(0.24595757611795155, 0.7538986328502343, 0.7541862697748325)"
DATA/00039.jpg,"(425, 640)",9,79.2880429,1.79e-14,53.86658809,0.999077454,[1.08652167 1.08533723],"(0.4064804001752047, 0.5931565567979612, 0.5938830875266682)"
DATA/00040.jpg,"(469, 750)",9,130.9064008,1.45e-14,54.71393492,0.999157586,[0.92470917 0.92317156],"(0.3078321179250959, 0.691355996546019, 0.6929816767015615)"
DATA/00041.jpg,"(480, 640)",9,109.46214740000002,1.56e-14,46.34124011,0.993283807,[2.13493219 2.12782748],"(0.6326528577904104, 0.36606778667401946, 0.3686354714430443)"
DATA/00042.jpg,"(452, 640)",9,107.5279108,2.12e-14,46.52738592,0.996092955,[2.10356634 2.10014215],"(0.3014407375109692, 0.7028803021610823, 0.6942910264041418)"
DATA/00043.jpg,"(417, 596)",9,84.48924709999999,1.18e-14,56.26353839,0.999038908,[0.76287286 0.7626539 ],"(0.2548299731445165, 0.745174226957478, 0.7451658268008357)"
DATA/00044.jpg,"(439, 659)",9,100.7087988,1.95e-14,54.70399962,0.998595279,[0.96919682 0.96762451],"(0.3332990880274229, 0.6660987826582303, 0.6673041308783121)"
DATA/00045.jpg,"(375, 500)",9,146.9154238,1.83e-14,57.19677355,0.999507914,[0.58255624 0.5817872 ],"(0.07034249210569199, 0.9293376846342952, 0.9299775513587363)"
DATA/00046.jpg,"(492, 786)",9,131.4012091,1.23e-14,55.43992884,0.999280189,[0.82732722 0.82679528],"(0.2399406724711287, 0.7598938861152323, 0.7602248409968386)"
DATA/00048.jpg,"(541, 813)",9,147.4692024,1.46e-14,55.72763511,0.998941406,[0.83164329 0.83071697],"(0.28611237519627, 0.7134633494689714, 0.7143124050464695)"
DATA/00051.jpg,"(480, 640)",9,138.0906866,2.26e-14,56.13008283,0.999474948,[0.70014265 0.69881661],"(0.1397938244240512, 0.8599010766947222, 0.8605114910364282)"
DATA/00052.jpg,"(424, 808)",9,126.6668112,1.21e-14,53.53808917,0.999362488,[1.03316618 1.03260816],"(0.3289322684692356, 0.6709019484257435, 0.6712335965876445)"
DATA/00053.jpg,"(375, 500)",9,68.7964218,2.02e-14,45.28523907,0.995723632,[2.33539141 2.32539986],"(0.6409169590119869, 0.35636317177030924, 0.36184474721214704)"
DATA/00055.jpg,"(433, 620)",9,65.9325638,1.54e-14,43.57299932,0.989602422,[2.68679048 2.6826429 ],"(0.7946701203623763, 0.2035806542352264, 0.20710942528822104)"
DATA/00056.jpg,"(315, 500)",8,80.93559429999998,1.52e-14,53.6348688,0.999276811,[0.9640643  0.96405251],"(0.2521064004158313, 0.7464359731395974, 0.7493569300196314)"
DATA/00057.jpg,"(498, 1200)",10,263.2991431,1.29e-14,61.80640687,0.999719941,[0.28501897 0.28491163],"(0.08094151695898233, 0.91882194886639, 0.9192951390299369)"
DATA/00058.jpg,"(194, 260)",7,26.244799800000006,1.69e-14,51.86010273,0.999382035,[1.24222395 1.24314453],"(0.3612666867659281, 0.640956169036785, 0.6365258220117596)"
DATA/00059.jpg,"(480, 640)",9,127.4364996,1.77e-14,54.71249274,0.999325516,[0.94817487 0.94712319],"(0.3304209440246959, 0.6690361421855492, 0.670122851615078)"
DATA/00060.jpg,"(300, 400)",8,58.1135365,1.22e-14,52.34078435,0.999416112,[1.2666572  1.26443729],"(0.39266341513283387, 0.6068853396905768, 0.6077885015832062)"
DATA/00061.jpg,"(764, 1023)",10,285.4929529,1.37e-14,54.79271643,0.998630516,[0.9381943  0.93632101],"(0.31236356343708405, 0.6871157713649052, 0.6881578914322947)"
DATA/00062.jpg,"(280, 450)",8,62.9481453,1.99e-14,55.58939106,0.999393327,[0.7627726  0.76171878],"(0.10546997425046556, 0.8936538709649203, 0.8954079002168706)"
DATA/00065.jpg,"(361, 500)",8,67.4057385,1.36e-14,50.12549869,0.996931606,[1.61508187 1.60948039],"(0.5380469578770374, 0.46028352655786314, 0.4636347129304022)"
DATA/00066.jpg,"(194, 259)",7,18.9481824,1.35e-14,52.05959036,0.999356759,[1.30767121 1.30455288],"(0.4830225859821988, 0.5162254752040203, 0.5177315465891265)"
DATA/00067.jpg,"(480, 640)",9,123.988249,2.01e-14,48.31695078,0.997836583,[1.63629083 1.63413441],"(0.1580534396134573, 0.8419057919204151, 0.8419873328012076)"
DATA/00068.jpg,"(438, 640)",8,171.2237054,2.17e-14,57.37521422,0.999434766,[0.60552028 0.60532893],"(0.11464795015137852, 0.8851248913896339, 0.8855793249334373)"
DATA/00069.jpg,"(533, 800)",9,144.440899,1.69e-14,52.65150454,0.998272156,[1.1641347  1.16270715],"(0.3774611622213039, 0.622159468887125, 0.6229186696016344)"
DATA/00071.jpg,"(305, 643)",8,80.238203,1.37e-14,48.76954737,0.998753216,[1.64996632 1.64899764],"(0.5065825325150394, 0.4921281579962779, 0.4947135503533896)"
DATA/00073.jpg,"(240, 320)",7,25.470861,1.3999999999999999e-14,52.71069091,0.999321698,[1.23963223 1.23916675],"(0.4455125053604574, 0.5542062033819776, 0.5547690715848241)"
DATA/00074.jpg,"(240, 320)",7,32.1561922,1.45e-14,53.73788795,0.999095404,[1.07331022 1.07272422],"(0.3726772300820449, 0.6271464462397112, 0.627499192771705)"
DATA/00075.jpg,"(286, 550)",8,64.1817166,1.31e-14,55.6496829,0.999390342,[0.82504109 0.82491718],"(0.27050648282009393, 0.7292922179506605, 0.7296949275650544)"
DATA/00076.jpg,"(187, 300)",6,29.718255600000006,2.24e-14,56.47277085,0.999617247,[0.60008518 0.5927372 ],"(0.01933080359067474, 0.9762643654116271, 0.985113956091018)"
DATA/00078.jpg,"(480, 640)",8,62.2987559,1.67e-14,53.44708027,0.999425166,[1.12952969 1.12867989],"(0.408984474710388, 0.5908053797667931, 0.5912258203603384)"
DATA/00080.jpg,"(224, 300)",7,28.039825300000004,1.08e-14,55.81795892,0.999611427,[0.77488349 0.77448618],"(0.21694291215227424, 0.782845419086373, 0.7832688711036669)"
DATA/00081.jpg,"(301, 550)",9,65.35091659999999,1.06e-14,49.35023104,0.998172019,[1.67280469 1.66390888],"(0.5737990169058343, 0.4207613332975018, 0.43178312383741774)"
DATA/00082.jpg,"(480, 640)",9,89.83691259999998,1.5999999999999998e-14,53.62372287,0.999036904,[1.11932058 1.11740263],"(0.400608000682553, 0.5987619010131869, 0.6000234251681483)"
DATA/00083.jpg,"(225, 300)",7,28.6717526,1.46e-14,56.88382966,0.999697344,[0.60205199 0.59707668],"(0.17579940877604694, 0.8215473028812562, 0.8268710733399699)"
DATA/00084.jpg,"(480, 640)",9,107.7885223,1.63e-14,54.97597920000001,0.999454614,[0.88995595 0.88935992],"(0.2741504399719946, 0.7256463405890348, 0.7260528933232915)"
DATA/00085.jpg,"(480, 640)",9,111.7692768,1.74e-14,52.83777360000001,0.998914739,[1.15705575 1.1576706 ],"(0.3630111707450888, 0.6371779510524261, 0.6367998196911648)"
DATA/00087.jpg,"(234, 467)",8,62.216065500000006,1.2e-14,46.29164569,0.994271572,[2.2118538  2.21178981],"(0.7017151942480471, 0.29777079159419123, 0.29880059756845573)"
DATA/00090.jpg,"(225, 300)",8,25.9008716,1.65e-14,50.56720405,0.999204356,[1.54765419 1.54453022],"(0.4459849696722228, 0.5519071207364357, 0.5561391032120271)"
DATA/00091.jpg,"(480, 640)",9,120.4806168,1.34e-14,55.17391591,0.999283271,[0.87560078 0.87353239],"(0.2759010568161935, 0.7232008979239442, 0.724999221538238)"
DATA/00092.jpg,"(338, 600)",8,101.7673368,8.53e-15,57.1008002,0.99953855,[0.55929625 0.5583832 ],"(0.13225843612734756, 0.8655923961238055, 0.8699014304650619)"
DATA/00093.jpg,"(183, 275)",8,33.6666683,2.46e-14,53.73006921,0.999242855,[0.885924   0.88844477],"(0.1796130469567896, 0.8244171763000584, 0.8163959421721065)"
DATA/00094.jpg,"(491, 786)",9,266.8512369,2.1000000000000002e-14,57.03848875,0.999533906,[0.62869924 0.62789949],"(0.08425108442422446, 0.9152260155101052, 0.9162724134845583)"
DATA/00096.jpg,"(265, 400)",8,65.262224,2.16e-14,55.34046521,0.999433939,[0.79896587 0.79737895],"(0.15448304231882726, 0.8428166007389062, 0.8482346739535784)"
DATA/00097.jpg,"(58, 78)",5,4.9562034000000015,9.61e-15,50.030714,0.999462242,[1.39429464 1.39312204],"(0.5024335484905584, 0.498425702811245, 0.49671015768830545)"
DATA/00098.jpg,"(426, 640)",9,121.4580827,1.95e-14,55.40716726,0.999019281,[0.84689704 0.84546792],"(0.25951556972218737, 0.7396426592480861, 0.7413281194927437)"
DATA/00099.jpg,"(383, 510)",8,70.6509243,1.65e-14,54.04384493,0.999283494,[0.99623832 0.9963259 ],"(0.3276584531604503, 0.6723542980659959, 0.6723287960967494)"
DATA/00100.jpg,"(360, 480)",8,66.80230379999999,1.63e-14,54.45998506,0.999347997,[0.94596011 0.94571319],"(0.2915118270946224, 0.7080181146596934, 0.708958855715718)"
DATA/00102.jpg,"(360, 480)",9,75.5989697,1.22e-14,55.79405755,0.999426608,[0.59902628 0.59798908],"(0.17538878675573355, 0.8240925819482592, 0.8251304977382556)"
DATA/00103.jpg,"(480, 640)",9,100.2268538,1.84e-14,55.7635683,0.999388427,[0.82145421 0.82114938],"(0.28089870556598084, 0.7190598479209118, 0.7191427457253449)"
DATA/00104.jpg,"(360, 480)",8,87.850673,2.81e-14,59.02638778,0.999686276,[0.41938638 0.41660961],"(0.0056437194303531335, 0.9933825461699078, 0.995331925792164)"
DATA/00106.jpg,"(225, 300)",7,38.2445409,1.81e-14,56.40045253,0.999560466,[0.6747313  0.67180852],"(0.158251110640809, 0.8392817570888598, 0.844230569036938)"
DATA/00107.jpg,"(182, 276)",8,32.8774479,1.02e-14,56.1714899,0.999323429,[0.59930381 0.60100998],"(0.2496591537448254, 0.7510016587980094, 0.7496811955987807)"
DATA/00108.jpg,"(159, 212)",7,17.0939033,1.43e-14,55.99661747,0.999472081,[0.62605281 0.61137131],"(0.2555912004182136, 0.7221965110074929, 0.7680307935405603)"
DATA/00109.jpg,"(194, 259)",7,27.3759867,1.7e-14,55.29249689,0.999215517,[0.69559739 0.64539438],"(0.25235358309577627, 0.665918707471319, 0.8522413684260249)"
DATA/00110.jpg,"(398, 600)",9,83.142557,1.16e-14,55.67917098,0.999189522,[0.64492777 0.6463961 ],"(0.23019100337533205, 0.7696008839298893, 0.7700172219040594)"
DATA/00111.jpg,"(532, 800)",9,214.81666,1.76e-14,55.02348129,0.99876427,[0.72500364 0.72392613],"(0.3181480150380902, 0.6813634918041283, 0.682341179057648)"
DATA/00112.jpg,"(274, 500)",8,78.0686079,2.19e-14,55.23501172,0.998723301,[0.69775867 0.6059314 ],"(0.2521058723167485, 0.6469403973476736, 0.886180841713989)"
DATA/00114.jpg,"(426, 640)",10,214.3504323,2.09e-14,55.33837422,0.99859069,[0.67069601 0.64215271],"(0.30253699299196035, 0.6669996000583743, 0.7308422549515962)"
DATA/00115.jpg,"(267, 400)",8,77.76712990000001,2.51e-14,54.93385702,0.998828317,[0.73231293 0.72921703],"(0.33599096963448993, 0.6625376208584525, 0.6654869900362285)"
DATA/00117.jpg,"(383, 753)",8,86.9805635,1.59e-14,55.19368517,0.999056181,[0.70850056 0.70711951],"(0.3157191723362516, 0.6835937000768805, 0.6849693379999987)"
DATA/00118.jpg,"(420, 630)",9,104.6968621,1.58e-14,55.09987205,0.998445981,[0.7139541  0.71113209],"(0.3232383759114311, 0.6750866013193555, 0.6784449796556337)"
DATA/00120.jpg,"(150, 200)",7,12.931986300000002,1.48e-14,55.87598774,0.999491641,[0.64126577 0.63683842],"(0.27929602083480476, 0.7167237098306195, 0.7247287036096343)"
DATA/00121.jpg,"(480, 640)",10,106.2336378,1.92e-14,54.68619006,0.998900477,[0.75820449 0.75681156],"(0.34340244983900625, 0.6562541218190454, 0.6569413381342981)"
DATA/00122.jpg,"(200, 300)",7,36.7115485,1.52e-14,55.46966311,0.999249684,[0.6804363  0.67902249],"(0.30713480680262306, 0.6923410195660288, 0.6933901611372111)"
DATA/00124.jpg,"(214, 285)",8,31.4488944,1.73e-14,55.41015289,0.999050346,[0.68672313 0.68411795],"(0.3040293446919413, 0.6948757698742548, 0.6970689965133894)"
DATA/00126.jpg,"(533, 800)",9,146.06990969999995,1.37e-14,55.26901833,0.998893202,[0.69785781 0.69885799],"(0.3075964931415893, 0.6927978629626899, 0.692009599451427)"
DATA/00127.jpg,"(387, 620)",9,125.2333953,1.63e-14,55.39507501,0.998263607,[0.68415218 0.68417457],"(0.2962975550704403, 0.702818348468156, 0.7045887684558225)"
DATA/00128.jpg,"(329, 438)",8,48.2946313,2.61e-14,57.33227557,0.999009862,[0.51554886 0.29070335],"(0.08893869271296484, 0.839184556921451, 0.9964040153790391)"
DATA/00129.jpg,"(348, 607)",9,65.3188339,1.89e-14,55.03028562,0.999351102,[0.72420592 0.71925219],"(0.3223494426601231, 0.6734427804404911, 0.6819112465535956)"
DATA/00131.jpg,"(720, 960)",10,168.18443169999995,1.48e-14,54.73353524,0.999103554,[0.74621459 0.74348555],"(0.34347925553283853, 0.6556532064484284, 0.6573905813212241)"
DATA/00132.jpg,"(480, 640)",9,86.9499469,1.51e-14,55.0715828,0.998845565,[0.72003002 0.71329036],"(0.32216903444142775, 0.6746800102429226, 0.6810114907620126)"
DATA/00133.jpg,"(360, 480)",9,74.14448929999998,2e-14,54.79661077,0.99876919,[0.74596462 0.71369571],"(0.32314587369526737, 0.6271626749107788, 0.7350974855378335)"
