File Name,No Cols,No Rows,No IMFs,Best RMSE,Best SSIM,Best PSNR
00904.jpg,520,390,5,Bilinear,HHT,HHT
00905.jpg,640,480,6,Bilinear,HHT,HHT
00906.jpg,500,375,5,Bilinear,HHT,HHT
00907.jpg,480,360,5,Bilinear,HHT,HHT
00908.jpg,640,480,6,Bilinear,HHT,HHT
00909.jpg,585,375,6,Bilinear,HHT,HHT
00910.jpg,640,480,5,Bilinear,HHT,HHT
00912.jpg,623,389,5,Bilinear,HHT,HHT
00913.jpg,640,480,6,Bilinear,HHT,HHT
00903.jpg,2000,1291,7,Gaussian,HHT,HHT
00914.jpg,1600,1200,8,Bilinear,HHT,HHT
00915.jpg,750,562,6,Gaussian,HHT,HHT
00916.jpg,640,410,5,Bilinear,HHT,HHT
00917.jpg,450,225,5,Bilinear,HHT,HHT
00918.jpg,640,480,5,Bilinear,HHT,HHT
00919.jpg,640,480,6,Gaussian,HHT,HHT
00920.jpg,800,390,5,Bilinear,HHT,HHT
00922.jpg,450,225,5,Bilinear,HHT,HHT
00923.jpg,160,98,2,Bilinear,HHT,HHT
00924.jpg,300,225,4,Bilinear,HHT,HHT
00926.jpg,240,159,4,Gaussian,HHT,HHT
00927.jpg,640,480,6,Bilinear,HHT,HHT
00928.jpg,800,600,6,Bilinear,HHT,HHT
00929.jpg,510,215,5,Bilinear,HHT,HHT
00930.jpg,326,239,5,Bilinear,HHT,HHT
00931.jpg,640,480,6,Gaussian,HHT,HHT
00932.jpg,424,360,5,Bicubic,HHT,HHT
00933.jpg,640,480,5,Bilinear,HHT,HHT
00934.jpg,941,714,6,Bilinear,HHT,HHT
00935.jpg,640,480,6,Bilinear,HHT,HHT
00936.jpg,650,264,5,Bilinear,HHT,HHT
00937.jpg,259,194,3,Bilinear,HHT,HHT
00938.jpg,800,451,6,Bilinear,HHT,HHT
00939.jpg,640,480,6,Bilinear,HHT,HHT
00940.jpg,400,263,4,Bilinear,HHT,HHT
00941.jpg,600,448,6,Bilinear,HHT,HHT
00942.jpg,960,640,6,Gaussian,HHT,HHT
00943.jpg,750,433,6,Bilinear,HHT,HHT
00944.jpg,1024,640,6,Gaussian,HHT,HHT
00945.jpg,259,194,4,Bilinear,HHT,HHT
00946.jpg,460,219,4,Gaussian,HHT,HHT
00947.jpg,424,360,5,Bilinear,HHT,HHT
00948.jpg,259,194,4,Gaussian,HHT,HHT
00949.jpg,311,162,3,Bilinear,HHT,HHT
00951.jpg,800,600,6,Bilinear,HHT,HHT
00952.jpg,275,183,4,Gaussian,HHT,HHT
00954.jpg,696,335,5,Bilinear,HHT,HHT
00955.jpg,744,385,5,Bilinear,HHT,HHT
00956.jpg,600,324,4,Bilinear,HHT,HHT
00958.jpg,1024,768,7,Bilinear,HHT,HHT
00959.jpg,920,575,6,Bilinear,HHT,HHT
00960.jpg,259,194,4,Gaussian,HHT,HHT
00961.jpg,640,480,6,Bilinear,HHT,HHT
00962.jpg,1500,938,7,Bilinear,HHT,HHT
00963.jpg,600,396,5,Bilinear,HHT,HHT
00964.jpg,400,300,5,Bilinear,HHT,HHT
00965.jpg,500,375,5,Gaussian,HHT,HHT
00966.jpg,640,425,5,Bilinear,HHT,HHT
00967.jpg,640,426,5,Bilinear,HHT,HHT
00968.jpg,800,600,6,Bilinear,HHT,HHT
00970.jpg,640,480,5,Bicubic,HHT,HHT
00971.jpg,623,449,6,Bilinear,HHT,HHT
00972.jpg,620,388,5,Bilinear,HHT,HHT
00973.jpg,880,298,5,Gaussian,HHT,HHT
00974.jpg,480,360,5,Bilinear,HHT,HHT
00975.jpg,586,391,5,Bilinear,HHT,HHT
00976.jpg,275,183,4,Bilinear,HHT,HHT
00977.jpg,720,403,6,Bilinear,HHT,HHT
00978.jpg,750,456,5,Gaussian,HHT,HHT
00979.jpg,1024,768,6,Bilinear,HHT,HHT
00980.jpg,1024,598,6,Gaussian,HHT,HHT
00981.jpg,1998,1066,7,Bilinear,HHT,HHT
00982.jpg,259,194,4,Bilinear,HHT,HHT
00983.jpg,630,378,5,Bilinear,HHT,HHT
00984.jpg,1024,685,7,Bilinear,HHT,HHT
00985.jpg,300,199,5,Bilinear,HHT,HHT
00986.jpg,1024,768,6,Bilinear,HHT,HHT
00987.jpg,320,240,4,Bilinear,HHT,HHT
00989.jpg,259,194,4,Gaussian,HHT,HHT
00990.jpg,640,480,7,Bilinear,HHT,HHT
00991.jpg,500,375,5,Bilinear,HHT,HHT
00992.jpg,630,353,5,Bilinear,HHT,HHT
00993.jpg,1024,768,7,Bilinear,HHT,HHT
00994.jpg,800,600,6,Bilinear,HHT,HHT
00996.jpg,336,251,5,Bilinear,HHT,HHT
00997.jpg,259,194,4,Gaussian,HHT,HHT
00998.jpg,640,480,6,Bilinear,HHT,HHT
00999.jpg,640,480,6,Bilinear,HHT,HHT
01000.jpg,1600,1200,8,Gaussian,HHT,HHT
01001.jpg,625,370,5,Bilinear,HHT,HHT
01002.jpg,600,400,6,Gaussian,HHT,HHT
01003.jpg,786,492,6,Bilinear,HHT,HHT
01004.jpg,275,183,4,Bilinear,HHT,HHT
01005.jpg,300,225,4,Bilinear,HHT,HHT
01007.jpg,1024,768,7,Bilinear,HHT,HHT
01008.jpg,1024,768,5,Bilinear,HHT,HHT
01009.jpg,500,375,5,Bilinear,HHT,HHT
01010.jpg,957,640,6,Gaussian,HHT,HHT
01011.jpg,623,389,5,Gaussian,HHT,HHT
01012.jpg,800,600,6,Bilinear,HHT,HHT
01013.jpg,264,198,4,Bilinear,HHT,HHT
01014.jpg,1500,1160,7,Bilinear,HHT,HHT
01015.jpg,800,600,6,Bilinear,HHT,HHT
01016.jpg,1600,1066,7,Bilinear,HHT,HHT
01017.jpg,1024,768,7,Bilinear,HHT,HHT
01018.jpg,1000,625,6,Bilinear,HHT,HHT
01019.jpg,1367,555,6,Bilinear,HHT,HHT
01020.jpg,625,468,6,Bilinear,HHT,HHT
01021.jpg,259,194,4,Gaussian,HHT,HHT
01022.jpg,900,540,6,Bilinear,HHT,HHT
01023.jpg,1280,782,7,Bilinear,HHT,HHT
01024.jpg,400,267,5,Bilinear,HHT,HHT
01025.jpg,797,380,5,Bilinear,HHT,HHT
01026.jpg,259,194,4,Gaussian,HHT,HHT
01027.jpg,800,600,6,Bilinear,HHT,HHT
01028.jpg,1200,803,7,Gaussian,HHT,HHT
01029.jpg,320,240,5,Bilinear,HHT,HHT
01030.jpg,640,480,6,Bilinear,HHT,HHT
01031.jpg,960,347,5,Bilinear,HHT,HHT
01032.jpg,500,375,5,Bilinear,HHT,HHT
01033.jpg,2856,2142,9,Bilinear,HHT,HHT
01034.jpg,960,347,5,Bilinear,HHT,HHT
01035.jpg,640,480,6,Bilinear,HHT,HHT
01036.jpg,275,183,4,Bilinear,HHT,HHT
01037.jpg,640,445,5,Bilinear,HHT,HHT
01038.jpg,1500,963,7,Bilinear,HHT,HHT
01039.jpg,569,355,6,Gaussian,HHT,HHT
01040.jpg,120,89,3,Bilinear,HHT,HHT
01041.jpg,640,480,6,Bilinear,HHT,HHT
01042.jpg,400,265,5,Bilinear,HHT,HHT
01043.jpg,1280,853,7,Bilinear,HHT,HHT
01044.jpg,625,468,5,Bilinear,HHT,HHT
01045.jpg,640,425,6,Bilinear,HHT,HHT
01046.jpg,500,442,6,Bilinear,HHT,HHT
01047.jpg,259,194,4,Bilinear,HHT,HHT
01048.jpg,640,480,5,Bilinear,HHT,HHT
01049.jpg,1680,1050,7,Bilinear,HHT,HHT
01050.jpg,800,600,6,Gaussian,HHT,HHT
01051.jpg,630,375,5,Gaussian,HHT,HHT
01052.jpg,1920,1080,7,Bilinear,HHT,HHT
01053.jpg,350,263,5,Bilinear,HHT,HHT
01054.jpg,800,533,6,Bilinear,HHT,HHT
01055.jpg,300,225,4,Bilinear,HHT,HHT
01056.jpg,760,340,5,Bicubic,HHT,HHT
01057.jpg,619,465,5,Bilinear,HHT,HHT
01058.jpg,500,417,5,Bilinear,HHT,HHT
01059.jpg,600,472,5,Bilinear,HHT,HHT
01060.jpg,440,248,4,Bilinear,HHT,HHT
01061.jpg,259,194,4,Gaussian,HHT,HHT
01062.jpg,640,480,5,Bilinear,HHT,HHT
01063.jpg,3888,2592,9,Bilinear,HHT,HHT
01064.jpg,320,255,4,Bilinear,HHT,HHT
01065.jpg,1920,1200,7,Bilinear,HHT,HHT
01066.jpg,700,525,5,Gaussian,HHT,HHT
01067.jpg,480,360,5,Bilinear,HHT,HHT
01068.jpg,1600,1200,8,Bilinear,HHT,HHT
01069.jpg,1024,593,6,Bilinear,HHT,HHT
01070.jpg,480,360,5,Bilinear,HHT,HHT
01071.jpg,1024,682,7,Bilinear,HHT,HHT
01072.jpg,320,240,4,Gaussian,HHT,HHT
01073.jpg,555,370,5,Gaussian,HHT,HHT
01074.jpg,2100,1575,8,Bilinear,HHT,HHT
01075.jpg,300,200,4,Bilinear,HHT,HHT
01076.jpg,800,533,6,Gaussian,HHT,HHT
01077.jpg,800,532,6,Bilinear,HHT,HHT
01078.jpg,1024,768,6,Bilinear,HHT,HHT
01079.jpg,794,552,6,Bilinear,HHT,HHT
01080.jpg,640,426,5,Bilinear,HHT,HHT
01081.jpg,300,225,4,Bilinear,HHT,HHT
01082.jpg,500,306,5,Bilinear,HHT,HHT
01083.jpg,457,249,5,Bilinear,HHT,HHT
01084.jpg,600,343,5,Bilinear,HHT,HHT
01085.jpg,500,334,5,Gaussian,HHT,HHT
01086.jpg,400,300,5,Gaussian,HHT,HHT
01087.jpg,400,300,5,Bilinear,HHT,HHT
01088.jpg,480,360,5,Bilinear,HHT,HHT
01089.jpg,1500,938,7,Gaussian,HHT,HHT
01090.jpg,540,358,6,Bilinear,HHT,HHT
01091.jpg,620,413,6,Gaussian,HHT,HHT
01092.jpg,600,600,6,Bilinear,HHT,HHT
01093.jpg,500,375,5,Bilinear,HHT,HHT
01094.jpg,300,225,4,Bilinear,HHT,HHT
01095.jpg,1280,861,7,Bilinear,HHT,HHT
01096.jpg,640,480,6,Bilinear,HHT,HHT
01097.jpg,637,480,6,Bilinear,HHT,HHT
01098.jpg,1200,800,7,Bilinear,HHT,HHT
01099.jpg,1742,1307,8,Bilinear,HHT,HHT
01100.jpg,1500,938,7,Bilinear,HHT,HHT
01101.jpg,510,300,5,Bicubic,HHT,HHT
01102.jpg,200,127,3,Bilinear,HHT,HHT
01103.jpg,275,183,4,Bilinear,HHT,HHT
01104.jpg,610,343,5,Bilinear,HHT,HHT
01105.jpg,719,336,5,Bilinear,HHT,HHT
01106.jpg,1024,683,7,Bilinear,HHT,HHT
01107.jpg,1024,768,6,Bilinear,HHT,HHT
01108.jpg,480,360,5,Bilinear,HHT,HHT
01109.jpg,1921,1080,7,Bilinear,HHT,HHT
01110.jpg,1024,768,7,Bilinear,HHT,HHT
01111.jpg,468,312,5,Bilinear,HHT,HHT
01112.jpg,960,720,6,Bilinear,HHT,HHT
01113.jpg,269,200,4,Bilinear,HHT,HHT
01114.jpg,500,375,5,Bilinear,HHT,HHT
01115.jpg,2048,1536,8,Bilinear,HHT,HHT
01116.jpg,550,384,5,Bilinear,HHT,HHT
01117.jpg,640,480,6,Bilinear,HHT,HHT
01118.jpg,640,480,6,Bilinear,HHT,HHT
01119.jpg,750,469,6,Bilinear,HHT,HHT
01120.jpg,640,480,6,Bilinear,HHT,HHT
01121.jpg,1024,576,6,Bilinear,HHT,HHT
01122.jpg,640,480,6,Gaussian,HHT,HHT
