IMF Spot,Mean Frequency,Variance Frequency,Rows,Cols,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color,Interpolation Method
IMF 7,4452.11567977767,1666791470.836799,375.0,500.0,1061.0066381511542,1.182325580267054e+16,1.447870078381941e+23,68.38671193844213,4318.525922850787,69.91724934978042,53833.94245556553,43039144.31928887,Bicubic
IMF 8,2153.229343164056,297572324.904846,375.0,500.0,500.3165552965722,162621247662678.7,1.9630694680066186e+20,12.371391783373802,1458.7285133908515,0.0,173643.418923909,25455591.94984767,Bicubic
IMF 9,5.4126445767386275e-12,7.98289973565466e-24,375.0,500.0,5.094199865099013e-12,1.4154677580843365e-35,2.065131099863097e-46,4.6005273664680615e-17,1.9882252911347636e-28,0.0,4.85038327755628e-44,2.8262220084172688e-55,Gaussian
IMF 1,42590.02201722897,14443862819.691254,183.0,275.0,15612.71891528486,1.3289650049308956e+16,1.5983336165118145e+22,-8.68612660126015,322980.1457425567,1.022727578101796,-54365392.92436709,4482873621797.193,Bicubic
IMF 2,56890.564024844636,27150558319.16334,183.0,275.0,20371.036092349957,3.474717233010912e+16,5.85231056800993e+22,59.929587462108564,600225.5254056039,0.0,413431127.80656224,11809867707115.615,Lanczos4
IMF 3,26476.56407559749,5635258748.173139,183.0,275.0,9383.533831443196,3138574006231787.5,2.2355343718268191e+21,-21.697817338312245,125436.15342463812,0.0,6375739.734020899,854925052901.9589,Bicubic
IMF 4,20220.455949642943,3341519408.214563,183.0,275.0,7170.559559097124,1489340427449732.5,8.834548873598079e+20,-12.328035819535346,74371.34287165021,0.0,-35860136.38119469,196058881667.65704,Bicubic
IMF 5,13864.776222168879,1930230400.3363507,183.0,275.0,4792.058136840369,764782300358601.0,4.38954192738794e+20,26.47971709346219,41473.93476699537,24.9548044883643,-56958100.34611832,174915043416.65326,Bicubic
IMF 6,2831.851474405085,166115408.04674026,183.0,275.0,806.0595720171099,43997942023016.13,2.963930451878185e+19,21.298011024332315,3006.599213637038,0.0,167938.91580716113,102069991.09781824,Bicubic
IMF 7,262.85297417401256,4929520.798036515,183.0,275.0,48.211731411094895,169491147719.90634,6222777195649861.0,0.8331390922697574,98.63250586135,0.0,12016.01525398483,1519845.3000063759,Bicubic
IMF 8,2.310040055244741e-12,1.4466549728954104e-24,183.0,275.0,2.1633412334241688e-12,1.0812783264663286e-36,6.723473526825535e-48,2.6226192382998235e-17,1.347820251472014e-28,0.0,3.476213593936627e-42,2.707213499644055e-54,Gaussian
IMF 1,6393.557106403071,116623520.05315807,194.0,259.0,3523.2682557823687,6445437383245.032,4.7678226781645466e+17,1.3114543636536742,3132.879707839653,0.1287268678959128,880292.8974897991,2460065170.368945,Bicubic
IMF 2,6818.010789381488,178380199.19783393,194.0,259.0,2666.489291647523,11867772668929.58,1.0714982053847988e+18,-0.4606605281997444,4475.078766720657,0.03608423405284364,-1267838.1439204412,4025619513.308562,Lanczos4
IMF 3,3801.7024663367047,53664770.55730917,194.0,259.0,1374.9034651260565,1717367813160.2456,7.754446379978354e+16,1.4012758016039029,1353.7207034804594,0.2414929066305077,104521.38569077947,111883101.92884384,Lanczos4
IMF 4,3656.610333264204,79147536.02313375,194.0,259.0,1272.8430140837568,4269825554361.453,3.286377841865655e+17,0.13553533944461782,1841.2891004672736,-0.2411704252035896,-18040.36675052184,191837470.3864725,Bicubic
IMF 5,3181.7702377134615,174894857.33705273,194.0,259.0,891.4586006043482,41958066954577.21,2.3305858005871555e+19,19.600164040086067,3298.0872650730357,9.299720896411245,56615.71789550319,61537106.18808656,Bicubic
IMF 6,2585.8261176102687,310357440.20609355,194.0,259.0,700.0287949721522,517972391128627.0,1.4423401657467208e+21,58.055603294073926,2939.3812794749897,66.2422452236941,-11714.868013829593,23108224.677311465,Lanczos4
IMF 7,1019.060988436942,30251064.08296599,194.0,259.0,266.2910331009153,2750386490979.686,3.862698129072631e+17,6.157996952562503,584.8062434784968,0.0,56184.04451499329,6393511.781620904,Bilinear
IMF 8,2.130703087916237e-12,1.2497787682735288e-24,194.0,259.0,2.0101427631089287e-12,9.071659148437371e-37,5.296619665997188e-48,3.6581722715627294e-17,1.1522523537803514e-28,0.0,2.353726984539658e-44,9.581449883629833e-56,Gaussian
IMF 1,49591.33954236197,36238459723.40784,366.0,550.0,15592.371087605365,1.3108112739304429e+17,1.248836091720043e+24,99.04236644927096,182429.85793930406,1.9244991328344616,305977568.76580584,2504608591913.283,Bicubic
IMF 2,67684.47964638355,79681475189.49823,366.0,550.0,19619.94769888022,4.152520910277892e+17,3.6616196873053216e+24,-84.69666309063327,411418.9440864481,0.0,-1640971800.714706,10488252141581.193,Bicubic
IMF 3,37100.23135935109,16115743858.517609,366.0,550.0,12340.89714598757,2.0617161294544524e+16,3.6607080399953606e+22,23.734018226839442,86332.72730496299,0.0,168469274.93913287,934938916934.2828,Bicubic
IMF 4,30909.65463178388,11043201888.192898,366.0,550.0,10335.708894032441,1.5719320171517372e+16,5.768396140260435e+22,45.10097031624843,57571.50922093952,0.0,-5452132.124210752,324275736509.83124,Bicubic
IMF 5,28345.387109913452,12275302588.240057,366.0,550.0,9070.024923604373,2.299761952818408e+16,8.738877844206904e+22,40.71284490993928,63313.96728294035,0.0,127554647.23366614,410243811935.744,Bicubic
IMF 6,15890.412005447744,4046955526.3751936,366.0,550.0,5100.880894446226,4113344278250733.5,1.0831487317305442e+22,30.3245510507242,20438.89512606617,0.0,42310253.950823255,163715634969.23557,Bicubic
IMF 7,3214.5636310716886,349390943.8479181,366.0,550.0,868.6868289390072,269960668878990.62,5.6965433135737104e+20,15.364595146923316,1550.9354911133514,0.0,230556.9202751997,68948102.03364764,Bicubic
IMF 8,497.9759369223632,15237827.458818516,366.0,550.0,94.45776447303517,1051792272868.3964,9.169315896131504e+16,0.9599300060875959,76.00753335297162,0.0,5037.3483583099605,436502.49115469476,Bicubic
IMF 9,9.815547872979394e-12,2.653533979460031e-23,366.0,550.0,9.225745827466527e-12,8.7777195059986e-35,2.318575789915367e-45,1.6732765198262607e-17,6.1043349965366785e-28,0.0,1.4258917879022592e-41,3.956872774809678e-53,Gaussian
IMF 1,6062.906245267588,27770422.42356081,349.0,523.0,4644.735517312878,367314952888.33295,9344940373432756.0,0.007503364755864509,353.5325967451792,0.012891535726368279,-11807.899432879103,21860260.793101974,Bicubic
IMF 2,4920.516182529533,50156373.54790586,349.0,523.0,1891.1264579459225,1230960248508.3008,6.214501862517747e+16,-0.0286188587874074,407.4339881425489,-0.012259388442525498,19934.140217249453,34465417.542421594,Lanczos4
IMF 3,3622.4003562146186,53921095.40888148,349.0,523.0,900.2069382883795,2453718472616.3643,2.4933114227122035e+17,0.3084714864462826,367.2087496936539,0.022207329754388886,12685.485346277368,6488921.302462274,Lanczos4
IMF 4,3565.3548384677947,85233944.70725138,349.0,523.0,966.2350188965736,6146571913103.639,8.879840642772849e+17,-0.5165469937050453,536.3425566183457,-0.08799389575946104,4531.0611868266105,11271848.088964507,Bicubic
IMF 5,4107.225127171371,164100155.12494868,349.0,523.0,1221.0870905503698,20039943186907.02,4.685483480930639e+18,-1.148453363109311,990.1478152436481,-0.15994281899398466,-88765.90067566717,65515028.09412509,Bicubic
IMF 6,4751.725278705318,673936762.4512305,349.0,523.0,1140.988404547529,441171269489883.1,7.726321189381061e+20,17.92100300436607,3494.7972385320927,4.605095981090238,245393.06993355052,89164187.38976787,Bicubic
IMF 7,4694.555214038943,2543707231.961893,349.0,523.0,1057.2908617482462,2.671711495239158e+16,4.355496882120354e+23,91.94444938976706,5603.0212233365955,101.58249009299816,61739.82056397845,93207260.11230168,Bicubic
IMF 8,2453.6830461466475,604722226.1316714,349.0,523.0,451.6991090998572,699093558371917.5,2.0604479606995728e+21,23.639671476611475,2787.206718896433,0.0,301843.31955059624,46533447.592418,Bicubic
IMF 9,316.9427528207243,6666394.398858001,349.0,523.0,61.79424069848354,295963651512.5851,1.3770996842241806e+16,0.2581894631773262,37.006467696595685,0.0,5626.3157770377065,904705.4121060936,Gaussian
IMF 10,6.752218639000973e-12,1.2403646625585865e-23,349.0,523.0,6.364858739755357e-12,2.6711855335861676e-35,4.888006933826954e-46,5.2557786580511656e-17,3.17737096299756e-28,0.0,2.3703043039022285e-44,5.084139348683003e-55,Gaussian
IMF 1,4078.595594792104,28925752.17671887,194.0,259.0,2257.025591165542,573930484154.9968,2.0586872834112924e+16,0.5885282696591608,906.406295435419,-0.003256945802589041,44255.523147519816,86158748.07289813,Bicubic
IMF 2,5071.40307759647,93946064.29268096,194.0,259.0,1828.555830079708,4507563582037.479,3.527020384463288e+17,-3.4000893489962483,2370.025856378877,-0.13253203766496138,-262712.4859841952,261193870.5393453,Lanczos4
IMF 3,5033.146961115133,131026637.70705582,194.0,259.0,1680.8102253718762,8121974457262.933,6.940155541609805e+17,-0.01069409060147856,3111.8735878065168,-0.17860179710321372,486233.59110221814,572128929.71216,Lanczos4
IMF 4,6471.593905197447,345464348.10731137,194.0,259.0,2186.2245662206587,46795930042427.61,8.661881004450093e+18,8.740705652015972,7632.5893530282665,1.0761175610914724,1344394.6227592956,3574517761.346917,Bicubic
IMF 5,5004.779417172223,458886838.2631038,194.0,259.0,1416.8192796988178,235277383144700.1,3.2082933881493435e+20,39.082671511767984,8103.851862248582,24.13947339296359,270922.32854568854,793824676.9596969,Bicubic
IMF 6,2998.991314876804,467115736.31654716,194.0,259.0,747.4399456745165,808633981558752.4,2.4676587847032567e+21,66.14823535247116,5099.984840724777,57.71010258941842,229743.22178630266,80864674.66449057,Bicubic
IMF 7,504.31383895905424,7924477.719888098,194.0,259.0,118.71354322903795,307532132830.11505,1.424539969877232e+16,1.2416986581415257,161.23353308810684,0.0,23308.585976637045,3644911.378041572,Gaussian
IMF 8,2.884607061741293e-12,2.2668239357538385e-24,194.0,259.0,2.728200341195038e-12,2.0884887367870167e-36,1.63495016614524e-47,4.5393507578512146e-17,2.10716839170774e-28,0.0,8.832966146468107e-45,3.863974750687137e-55,Gaussian
IMF 1,7451.402202263853,224434305.6643824,189.0,300.0,3250.315807108013,22335182274466.45,4.480192790177961e+18,9.701507926561801,4843.406324978811,0.4851735052780464,2419080.5065910174,3723279090.398413,Lanczos4
IMF 2,9381.252052304884,400227647.7230368,189.0,300.0,3601.824361500157,42517565923275.72,6.049034253900463e+18,-5.196001455520436,8583.857614586954,0.0,-9003004.86866872,15724517292.782084,Bicubic
IMF 3,7768.577951350078,309067052.51769865,189.0,300.0,2771.9117030372004,29210670699504.71,3.684665643034241e+18,3.0564533322185703,6505.964193625877,0.0,3631898.749730295,5323298210.849173,Bicubic
IMF 4,5508.732285474804,186946480.8181668,189.0,300.0,1845.413529356679,15763912342458.46,1.9286406268508188e+18,3.5662110735230184,3819.603341598468,0.0,90166.51058942227,367503591.8980909,Lanczos4
IMF 5,4577.568905737359,178886965.19097716,189.0,300.0,1559.065959926303,22671669219607.21,4.763907998262002e+18,8.543126008995714,3451.5494297007826,0.0,-128654.88222841301,297873950.73261666,Bicubic
IMF 6,2929.7659130972584,264116734.4465664,189.0,300.0,846.4265077450821,246718557556630.16,4.784733070998791e+20,39.86894032217225,3219.996041186944,5.276293026870436,46407.075797396006,43602751.93249351,Bicubic
IMF 7,1179.7436885309598,75810181.98304693,189.0,300.0,255.1855448495601,19942666129158.5,1.0195607606672003e+19,13.856711645664609,1169.5784410227932,0.0,96337.70661589224,11649808.628884472,Bicubic
IMF 8,2.1101079197013433e-12,1.2200155411913176e-24,189.0,300.0,1.9824344954949755e-12,8.494398572100338e-37,4.870193643374151e-48,1.8076858841868508e-17,1.0004501668357035e-28,0.0,-9.409660709469462e-44,1.2434003298829294e-55,Gaussian
IMF 1,5701.512172693841,125710250.32710733,124.0,166.0,2592.2151759194985,7219823908223.125,5.3668092785767616e+17,2.2881600479828177,7681.195113649391,0.05553213591486998,6076635.800051114,10007719044.304564,Bicubic
IMF 2,6485.63273571657,169776456.03985408,124.0,166.0,2699.7533508467372,11475208769730.553,1.0351826411349142e+18,3.0543708527572484,10282.153913449583,0.18005089188232393,-362340.9550208409,14762211666.460476,Lanczos4
IMF 3,4529.31766696897,83647253.19904836,124.0,166.0,1727.927852479232,3638811422579.0015,2.179781699535645e+17,4.721816309401403,5038.041203915824,0.31298059311392545,205607.92593093016,1188188452.2572346,Bicubic
IMF 4,5823.3662973695655,240283881.69994205,124.0,166.0,2079.8956081474994,26630804541096.195,4.4523039954224906e+18,19.424280556296328,12943.503617781374,8.024809352191124,-9132526.283593498,16307553507.934484,Bicubic
IMF 5,3156.588422218801,199881949.68431383,124.0,166.0,930.8928040787014,118247338999594.31,1.34552754568766e+20,62.342366746119325,6308.046494248263,51.55128208614126,38816.55015049287,115604670.00993748,Lanczos4
IMF 6,1355.5822933949091,38659433.3054648,124.0,166.0,349.67711084051734,3324875806225.808,4.806190329064235e+17,13.36101791670767,1788.886846733041,0.0,253537.8832943362,44352400.23767565,Lanczos4
IMF 7,271.67583665503565,2130471.1539780525,124.0,166.0,60.476294737654406,32180611760.814594,510929710108736.7,0.8358465212658351,106.3883657522478,0.0,13504.791071219695,1778276.4157173226,Gaussian
IMF 8,419.74139197368487,1993083.0469983108,124.0,166.0,124.82860877507072,22478261423.62376,291631928329899.5,0.6853649126640875,104.91629724188721,0.0,17767.851811457866,3153552.9137979,Gaussian
IMF 9,1.6657568814018868e-12,7.6796246752424e-25,124.0,166.0,1.5549391681710743e-12,4.188207715550978e-37,1.8193351173463554e-48,-1.0226306134324218e-17,1.7210971156442232e-28,0.0,-1.5471308153159584e-44,2.5891001904426906e-55,Gaussian
IMF 1,5734.1989963508495,40639127.99820318,782.0,1280.0,3730.143551747331,1004271129036.318,5.679803122519505e+16,0.05315768868096702,73.44682871980714,0.008229297313058187,-966.7330923716713,689028.7263947596,Bicubic
IMF 2,4714.268528499645,72372134.30165717,782.0,1280.0,1208.8802364509331,3484456190922.312,3.70732989172703e+17,0.10839141584144744,94.49398785434008,-0.001568092567913959,2022.0145028222234,489387.1506805307,Bicubic
IMF 3,3988.668031039694,104443865.98138104,782.0,1280.0,404.425517142673,8958400731261.271,1.8884649540220613e+18,0.02486395835578906,120.23729203295471,-0.00019140473301798577,88.10588243852811,230724.56978618162,Bicubic
IMF 4,3886.754763552795,160614875.07340628,782.0,1280.0,581.9469639110961,22581238476003.47,8.332039834562726e+18,-0.008721131981539372,175.55313052893996,-0.0032258638878985444,-387.5736961105615,583243.9609985604,Bicubic
IMF 5,4322.593325559584,307030765.70212454,782.0,1280.0,860.5126170416735,75790152882687.38,5.348823787953049e+19,-0.2867306213925401,325.32097724702436,-0.004096692810757864,-4537.807956713568,2977582.5190526387,Bicubic
IMF 6,5566.6746769854235,654489041.5986304,782.0,1280.0,1422.1042399575558,226352379352804.4,1.2857540507742957e+20,0.5265496683675509,684.5422273021823,-0.08832540578169963,16900.929076375374,16850183.38809657,Bicubic
IMF 7,7244.524705574566,5015264051.409072,782.0,1280.0,1635.2116576552805,5.6130514491087816e+16,1.7553090329432397e+24,36.179885664907225,3753.9026915474487,10.979189175237627,217759.52039763774,50296236.328366295,Bicubic
IMF 8,6159.702397230327,8303359422.782745,782.0,1280.0,1250.632612121191,2.8064386989338624e+17,1.7537577598167309e+25,64.63307738669965,4155.866694598483,73.69640058599781,90458.6254385299,39921080.96324077,Bicubic
