File Name,Color Mode,Resolution,Mean Pixel Value,Median Pixel Value,Max Pixel Value,Min Pixel Value,Log Trace,Difference-Axis0,Difference-Axis1,Number of IMFs,RMSE
DATA/00165.jpg,Grey,"(221, 500)",106.5663439,110.0,255,0,9.682778535,235,211,8,15.97310472
DATA/00167.jpg,Grey,"(275, 440)",102.7072975,102.0,255,0,10.14858827,255,245,8,13.21276968
DATA/00168.jpg,Grey,"(480, 640)",122.1756771,116.0,255,0,10.68148127,240,242,10,11.50099744
DATA/00169.jpg,Grey,"(104, 140)",175.3877747,245.0,255,0,9.750977192999999,252,254,6,14.42321555
DATA/00170.jpg,Grey,"(480, 640)",85.1023112,64.0,255,0,10.45754506,179,163,10,5.713938126
DATA/00171.jpg,Grey,"(183, 300)",134.8049727,183.0,255,0,10.13701698,193,233,7,11.68756108
DATA/00172.jpg,Grey,"(305, 500)",123.2374754,127.0,255,0,10.64844414,243,239,9,15.73831107
DATA/00174.jpg,Grey,"(194, 259)",148.6371054,143.0,255,0,10.34270976,194,181,7,46.05052314
DATA/00176.jpg,Grey,"(768, 1024)",127.9138972,134.0,255,0,11.47386234,173,165,10,8.944637293
DATA/00177.jpg,Grey,"(326, 700)",86.53047327,70.0,255,0,10.37486524,213,248,9,21.77070883
DATA/00178.jpg,Grey,"(168, 300)",169.6830159,249.0,255,0,10.32751269,251,251,6,51.87152034
DATA/00179.jpg,Grey,"(480, 640)",134.6399544,137.0,255,0,10.97296278,177,198,10,17.46612567
DATA/00180.jpg,Grey,"(189, 300)",90.86324515,81.0,255,0,9.90628364,192,175,7,9.2038934
DATA/00183.jpg,Grey,"(150, 200)",76.48186667,41.0,255,0,9.563248229,207,206,7,7.071255103
DATA/00184.jpg,Grey,"(426, 640)",130.5056852,114.0,255,0,10.9792917,248,226,8,7.921825742999999
DATA/00185.jpg,Grey,"(480, 640)",124.6349479,115.0,255,0,11.03984511,253,253,9,7.039733853
DATA/00186.jpg,Grey,"(199, 266)",154.21322780000003,149.0,255,3,10.30825242,166,156,7,16.4787423
DATA/00189.jpg,Grey,"(480, 640)",123.5304362,138.0,255,0,11.02405701,237,247,9,10.72166168
DATA/00191.jpg,Grey,"(469, 750)",107.906678,110.0,255,0,10.80440065,216,204,9,9.50905858
DATA/00192.jpg,Grey,"(225, 300)",121.4648,103.0,255,0,10.32810148,190,187,8,17.01770836
DATA/00193.jpg,Grey,"(768, 1024)",127.2764994,132.0,255,0,11.63807684,177,171,10,7.9591458410000016
DATA/00194.jpg,Grey,"(782, 1280)",110.5574369,103.0,255,0,11.4624634,193,199,10,4.39632672
DATA/00195.jpg,Grey,"(1080, 1440)",109.1629533,120.0,255,0,11.49894824,180,185,11,6.47431171
DATA/00196.jpg,Grey,"(225, 300)",123.4585778,115.0,255,0,10.25776462,173,182,7,11.16674627
DATA/00197.jpg,Grey,"(436, 540)",128.4597604,125.0,255,0,10.74399815,166,168,9,10.28938639
DATA/00198.jpg,Grey,"(450, 600)",83.61610741,72.0,250,0,10.58063238,190,162,9,7.593984315
DATA/00200.jpg,Grey,"(255, 340)",137.97391000000002,135.0,255,0,10.44891748,187,229,8,16.35500888
DATA/00201.jpg,Grey,"(200, 400)",105.253225,110.0,255,0,9.898575507999999,255,255,8,7.673826671
DATA/00202.jpg,Grey,"(1067, 1600)",127.0356765,149.0,255,0,11.66315418,179,179,11,7.040798149
DATA/00203.jpg,Grey,"(640, 960)",132.6545475,135.0,255,0,11.324630099999998,255,255,10,14.50775456
DATA/00204.jpg,Grey,"(169, 300)",95.68546351,73.0,255,0,9.607706102,183,196,7,9.169377873
DATA/00205.jpg,Grey,"(426, 640)",188.4337991,251.0,255,0,11.19187963,237,240,8,21.59391286
DATA/00206.jpg,Grey,"(480, 640)",123.6912923,118.0,255,0,10.8480936,168,174,9,12.66645231
DATA/00207.jpg,Grey,"(372, 470)",112.5218199,115.0,255,0,10.56004855,178,186,8,11.79084517
DATA/00208.jpg,Grey,"(282, 376)",143.0895201,167.0,245,0,10.58228223,160,162,8,21.24913579
DATA/00209.jpg,Grey,"(667, 1000)",118.3162924,122.0,255,0,11.1009643,191,183,11,13.55757548
DATA/00210.jpg,Grey,"(480, 640)",113.4388672,90.0,255,0,10.59560921,200,195,9,16.00873885
DATA/00211.jpg,Grey,"(397, 608)",99.24981771,99.0,255,0,10.17473532,204,206,9,10.67778139
DATA/00212.jpg,Grey,"(194, 259)",118.3930462,99.0,255,0,9.933191975,193,191,7,12.40006539
DATA/00213.jpg,Grey,"(225, 300)",109.5912593,102.0,255,0,9.940253332000001,191,186,7,1.63e-14
DATA/00214.jpg,Grey,"(768, 1024)",97.19009272,79.0,255,0,11.00929059,236,219,10,5.866534175
DATA/00215.jpg,Grey,"(194, 259)",98.40608208,59.0,255,0,9.844268193,237,233,7,5.362940045
DATA/00216.jpg,Grey,"(108, 144)",146.0649434,162.0,255,0,9.692210811,198,172,7,20.07918426
DATA/00217.jpg,Grey,"(480, 640)",142.22582680000005,149.0,255,7,11.10325653,199,186,9,12.37226916
DATA/00218.jpg,Grey,"(300, 400)",112.4584,115.0,255,0,10.48268185,139,134,8,6.986062502999999
DATA/00219.jpg,Grey,"(359, 640)",94.24682712,93.0,255,0,10.07769293,211,227,9,8.154454572999999
DATA/00220.jpg,Grey,"(360, 480)",123.4923611,116.0,255,0,10.63498969,156,154,8,8.08347795
DATA/00221.jpg,Grey,"(331, 500)",140.1268338,167.0,255,0,10.66630071,192,193,8,26.77128356
DATA/00222.jpg,Grey,"(388, 620)",79.78680163,83.0,255,0,10.23638197,227,198,9,14.64940475
DATA/00223.jpg,Grey,"(333, 500)",143.10975380000005,150.0,255,0,10.60067655,234,229,8,8.408321788
DATA/00224.jpg,Grey,"(150, 200)",122.9209,144.0,229,0,9.888729182,137,155,7,21.45077613
DATA/00225.jpg,Grey,"(342, 465)",173.661655,224.0,255,0,10.96250973,221,215,8,43.99370308
DATA/00226.jpg,Grey,"(194, 259)",109.53624170000002,84.0,255,0,9.757652204,240,228,7,14.82405067
DATA/00227.jpg,Grey,"(480, 640)",103.0137793,104.0,248,0,10.95061355,94,102,8,9.278715771
DATA/00228.jpg,Grey,"(536, 964)",137.523348,156.0,255,0,11.1144459,192,178,9,14.48563563
DATA/00229.jpg,Grey,"(194, 259)",62.02093699,33.0,255,0,9.565213694,244,224,7,15.23704949
DATA/00231.jpg,Grey,"(480, 640)",163.59933590000003,161.0,255,0,11.17066048,148,160,9,15.78276609
DATA/00232.jpg,Grey,"(444, 600)",116.7427402,142.0,255,0,10.95907055,188,243,9,10.52009876
DATA/00233.jpg,Grey,"(1067, 1600)",140.4958119,149.0,230,0,11.67726973,135,144,10,7.343790441
DATA/00234.jpg,Grey,"(1000, 1504)",111.6329069,137.0,255,0,11.46032605,192,185,11,8.408730751
DATA/00235.jpg,Grey,"(480, 640)",164.8505208,170.0,255,0,11.30595049,195,165,9,18.25708897
DATA/00236.jpg,Grey,"(450, 600)",138.9262926,142.0,255,0,10.91806585,205,213,9,7.735666332999999
DATA/00237.jpg,Grey,"(300, 400)",112.8340667,107.0,255,0,10.14921418,159,147,7,9.49700322
DATA/00238.jpg,Grey,"(399, 600)",98.74836675,94.0,255,0,10.35484976,158,157,8,10.27625976
DATA/00239.jpg,Grey,"(194, 259)",127.8278868,130.0,255,0,10.084766900000002,208,215,7,12.7252423
DATA/00240.jpg,Grey,"(225, 300)",135.1299556,158.0,255,0,10.22741717,171,184,7,1.7e-14
DATA/00241.jpg,Grey,"(768, 1024)",102.8080724,78.0,255,0,11.34704796,255,255,11,7.326243262999999
DATA/00242.jpg,Grey,"(210, 280)",123.8160374,132.0,255,0,9.926764529,130,138,7,19.33450572
DATA/00243.jpg,Grey,"(469, 750)",137.14130490000002,136.0,255,0,10.79491166,255,255,9,8.294884417
DATA/00244.jpg,Grey,"(360, 480)",34.90276042,19.0,255,0,9.097507563999999,186,197,9,2.299186435
DATA/00245.jpg,Grey,"(283, 556)",140.54383280000002,115.0,255,0,10.6593278,144,135,8,9.203285621000001
DATA/00246.jpg,Grey,"(1024, 1280)",96.04690247,96.0,255,0,11.59384164,195,184,10,6.245208177
DATA/00247.jpg,Grey,"(540, 900)",100.6031255,92.0,255,0,10.89679488,195,175,10,6.172079993
DATA/00248.jpg,Grey,"(445, 595)",106.2416505,97.0,255,4,10.84281098,150,118,9,12.04939487
DATA/00249.jpg,Grey,"(480, 640)",100.1815365,102.0,255,0,10.91193805,252,222,9,12.682863
DATA/00250.jpg,Grey,"(194, 259)",130.8098953,138.0,255,0,10.03240833,195,210,8,10.95140628
DATA/00252.jpg,Grey,"(183, 275)",93.14307004,85.0,255,0,9.633972784,238,187,7,14.35528989
DATA/00253.jpg,Grey,"(480, 640)",143.7311816,157.0,255,0,11.09948363,131,145,9,15.86746345
DATA/00254.jpg,Grey,"(161, 300)",139.3685714,157.0,255,0,10.11968705,238,224,6,12.57803791
DATA/00255.jpg,Grey,"(422, 791)",126.0502034,116.0,255,0,10.87604519,121,136,9,10.97528808
DATA/00256.jpg,Grey,"(603, 986)",81.20227631,78.0,255,0,10.64898996,203,221,9,4.032096905
DATA/00257.jpg,Grey,"(480, 640)",225.4532943,255.0,255,0,11.59869941,233,246,7,30.0330608
DATA/00258.jpg,Grey,"(194, 259)",119.3324046,135.0,255,0,10.01641437,255,255,7,12.96873779
DATA/00260.jpg,Grey,"(518, 720)",96.29757079,68.0,255,0,10.68720643,217,233,10,9.493408691
DATA/00261.jpg,Grey,"(269, 400)",90.76776952,91.0,255,0,10.32963725,180,195,8,6.664990962
DATA/00262.jpg,Grey,"(391, 587)",104.9840665,73.0,255,0,10.74518404,224,225,9,11.74279533
DATA/00263.jpg,Grey,"(740, 1111)",46.69473934,22.0,255,0,10.37773218,216,230,10,4.525624068
